,time,node,aoi,result
0,270,10,0,succ
1,540,3,270,succ
2,810,5,540,succ
3,2700,9,2430,succ
4,2970,1,1620,succ
5,3510,1,3240,succ
6,5130,9,4050,succ
7,5670,7,2970,succ
8,6210,8,4050,succ
9,6750,6,6480,succ
10,7290,8,6210,succ
11,8640,8,7560,succ
12,8910,3,1620,succ
13,9720,1,4590,succ
14,10260,1,9990,succ
15,10800,8,8910,succ
16,11610,8,11340,succ
17,13500,1,13230,succ
18,14310,4,2160,succ
19,15390,5,1890,succ
20,15930,7,7560,succ
21,16740,1,16470,succ
22,17550,2,6750,succ
23,18360,2,18090,succ
24,20250,9,8910,succ
25,20520,1,20250,succ
26,21600,1,21060,succ
27,21870,3,21600,succ
28,22140,8,12960,succ
29,22410,2,20520,succ
30,23490,10,1890,succ
31,23760,3,23490,succ
32,24300,3,24030,succ
33,24840,3,24570,succ
34,25380,10,25110,succ
35,25650,2,25380,succ
36,25920,4,25650,succ
37,26730,7,16200,succ
38,27540,4,26730,succ
39,29160,7,27000,succ
40,31320,7,31050,succ
41,31590,2,31320,succ
42,31860,9,20520,succ
43,33210,10,32130,succ
44,34560,8,34290,succ
45,34830,2,34020,succ
46,35370,6,12690,succ
47,35640,1,25920,succ
48,36180,1,35910,succ
49,37260,3,26190,succ
50,38070,6,36450,succ
51,40230,4,36450,succ
52,40500,2,34830,succ
53,41850,8,38880,succ
54,42390,1,38070,succ
55,42660,1,42390,succ
56,43200,7,34020,succ
57,43470,8,43200,succ
58,44010,6,38340,succ
59,45360,4,45090,succ
60,45630,3,38340,succ
61,45900,8,45630,succ
62,46710,8,46440,succ
63,46980,5,18360,succ
64,48060,10,34830,succ
65,49410,9,46980,succ
66,49950,6,49680,succ
67,50760,1,42660,succ
68,51300,9,51030,succ
69,51570,8,48060,succ
70,51840,9,51570,succ
71,52110,8,51840,succ
72,52920,6,49950,succ
73,53190,2,46980,succ
74,55890,3,48870,succ
75,56160,4,55350,succ
76,56430,3,56160,succ
77,56970,8,54000,succ
78,57240,6,54540,succ
79,57510,6,57240,succ
80,57780,3,57510,succ
81,58320,8,58050,succ
82,59940,8,59670,succ
83,60210,5,46980,succ
84,60480,10,49950,succ
85,60750,9,54810,succ
86,61020,6,58860,succ
87,62910,6,61560,succ
88,64800,7,44550,succ
89,65070,5,64800,succ
90,65340,3,61560,succ
91,65880,3,65610,succ
92,66420,10,61290,succ
93,68850,7,65880,succ
94,69660,8,64260,succ
95,69930,4,61830,succ
96,71820,6,63990,succ
97,73440,9,61290,succ
98,74520,5,65340,succ
99,75060,6,74790,succ
100,76140,8,69930,succ
101,76950,5,76140,succ
102,77220,5,76950,succ
103,77490,5,77220,succ
104,77760,4,71820,succ
105,78840,6,77760,succ
106,79110,1,55350,succ
107,79920,5,77760,succ
108,83970,10,79110,succ
109,84240,8,76140,succ
110,84780,10,84510,succ
111,85050,9,76140,succ
112,85320,9,85050,succ
113,85590,8,85320,succ
114,86130,5,81810,succ
115,86400,3,67500,succ
116,86670,7,75060,succ
117,86940,4,78300,succ
118,87480,3,87210,succ
119,90990,9,90720,succ
120,91260,7,90990,succ
121,91530,7,91260,succ
122,92610,9,91800,succ
123,93150,6,80190,succ
124,93420,8,85590,succ
125,94500,6,93420,succ
126,94770,6,94500,succ
127,95040,10,91530,succ
128,95310,1,89910,succ
129,95580,6,95310,succ
130,95850,3,88830,succ
131,97200,9,96930,succ
132,97470,8,93690,succ
133,98820,9,98550,succ
134,99360,3,99090,succ
